Index,IDSURVEY,zHD,zHEL,MU,MUERR,MUERR_VPEC,MUERR_SYS,PROBIA_BEAMS
0,150,0.02509,0.02507,35.25995,0.1773,0.0731,0.05631,1.0
1,63,0.0251,0.02528,35.08017,0.1641,0.073,0.04157,1.0
2,64,0.0251,0.02604,34.98002,0.1331,0.073,0.03455,1.0
3,150,0.02512,0.02403,35.13565,0.1211,0.073,0.03976,1.0
4,65,0.02517,0.02428,35.21658,0.1559,0.0728,0.04029,1.0
5,63,0.02519,0.02441,35.23294,0.1246,0.0728,0.0361,1.0
6,150,0.02534,0.02493,35.34029,0.1135,0.0724,0.0442,1.0
7,150,0.02534,0.02551,35.30465,0.1105,0.0724,0.03372,1.0
8,150,0.02556,0.02565,35.26944,0.1516,0.0717,0.03353,1.0
9,150,0.02557,0.02385,35.20203,0.122,0.0717,0.03342,1.0
10,150,0.02591,0.02448,35.33251,0.1146,0.0708,0.02933,1.0
11,64,0.02598,0.02484,35.16595,0.1391,0.0706,0.0435,1.0
12,150,0.02598,0.02561,35.36794,0.1168,0.0706,0.07984,1.0
13,64,0.02669,0.02522,35.48988,0.1058,0.0687,0.05624,1.0
14,150,0.02695,0.02604,35.3286,0.1032,0.0681,0.03461,1.0
15,150,0.02713,0.02537,35.38339,0.1156,0.0676,0.04662,1.0
16,64,0.02731,0.02696,35.4217,0.145,0.0672,0.14823,1.0
17,65,0.0274,0.02783,35.4032,0.2219,0.067,0.18365,1.0
18,150,0.02741,0.02734,35.58097,0.1446,0.067,0.04178,1.0
19,64,0.02748,0.02665,35.27905,0.0994,0.0668,0.02995,1.0
20,64,0.02823,0.02893,35.63531,0.1201,0.065,0.02724,1.0
21,63,0.02833,0.0281,35.33929,0.1479,0.0648,0.04759,1.0
22,65,0.02844,0.0284,35.46983,0.097,0.0646,0.04158,1.0
23,65,0.02849,0.02617,35.45147,0.0994,0.0645,0.05597,1.0
24,150,0.02849,0.02877,35.47203,0.1756,0.0645,0.08614,1.0
25,5,0.02857,0.0274,35.54768,0.167,0.0643,0.07021,1.0
26,150,0.02858,0.02716,35.56905,0.137,0.0643,0.02914,1.0
27,65,0.02866,0.02953,35.58174,0.1241,0.0641,0.10099,1.0
28,64,0.02898,0.02837,35.52838,0.1771,0.0634,0.10589,1.0
29,150,0.02902,0.02782,35.17845,0.1357,0.0633,0.03426,1.0
30,150,0.02915,0.02954,35.81677,0.1046,0.063,0.02688,1.0
31,63,0.02919,0.02833,35.74741,0.1139,0.0629,0.05158,1.0
32,150,0.02938,0.02834,35.70388,0.1707,0.0625,0.12753,1.0
33,150,0.02938,0.02812,35.55198,0.1347,0.0625,0.1121,1.0
34,150,0.02944,0.0292,35.4407,0.1101,0.0624,0.03886,1.0
35,150,0.02953,0.03075,35.53344,0.1119,0.0622,0.0519,1.0
36,150,0.02956,0.02852,35.56537,0.1169,0.0622,0.0434,1.0
37,150,0.02969,0.02947,35.385,0.1163,0.0619,0.10099,1.0
38,150,0.02978,0.02871,35.71706,0.1251,0.0617,0.04278,1.0
39,150,0.0299,0.03046,35.52993,0.1114,0.0615,0.03228,1.0
40,64,0.03012,0.03101,35.5473,0.1369,0.061,0.04694,1.0
41,150,0.03023,0.03036,35.69492,0.0921,0.0608,0.03955,1.0
42,150,0.03031,0.03064,35.62306,0.1336,0.0606,0.03073,1.0
43,150,0.03036,0.0289,35.61376,0.0907,0.0605,0.06008,1.0
44,150,0.03059,0.03074,35.5107,0.0997,0.0601,0.04612,1.0
45,64,0.03071,0.0314,35.72373,0.1121,0.0599,0.08307,1.0
46,150,0.03083,0.03086,35.60979,0.1733,0.0596,0.06044,1.0
47,150,0.03086,0.03007,35.56461,0.1015,0.0596,0.06277,1.0
48,150,0.03117,0.03065,35.58907,0.1813,0.059,0.05909,1.0
49,64,0.0312,0.03044,35.70509,0.1008,0.0589,0.03839,1.0
50,63,0.03134,0.03049,36.00315,0.1791,0.0587,0.09941,1.0
51,150,0.03143,0.02992,35.8135,0.1302,0.0585,0.04017,1.0
52,150,0.03143,0.03165,35.73926,0.1037,0.0585,0.07252,1.0
53,150,0.03148,0.03029,35.77221,0.1108,0.0584,0.08683,1.0
54,64,0.03174,0.03081,35.84381,0.1068,0.0579,0.03157,1.0
55,150,0.03192,0.031,35.54453,0.1158,0.0576,0.02596,1.0
56,64,0.03201,0.03103,35.60595,0.0962,0.0575,0.03433,1.0
57,65,0.03243,0.03389,35.74894,0.1845,0.0567,0.10394,1.0
58,150,0.03255,0.03182,35.72144,0.1105,0.0565,0.03526,1.0
59,65,0.03264,0.0307,35.67592,0.1568,0.0564,0.06625,1.0
60,150,0.03264,0.03309,36.05743,0.1301,0.0564,0.03601,1.0
61,5,0.03267,0.03192,35.53403,0.1497,0.0563,0.04441,1.0
62,65,0.03272,0.03354,35.80144,0.096,0.0562,0.03379,1.0
63,150,0.03282,0.03338,35.73067,0.119,0.0561,0.03869,1.0
64,150,0.03289,0.03323,35.95132,0.1058,0.0559,0.05239,1.0
65,64,0.0329,0.03155,35.86396,0.0989,0.0559,0.03087,1.0
66,63,0.03296,0.03139,35.89486,0.1689,0.0558,0.0655,1.0
67,150,0.03298,0.03194,35.83813,0.0862,0.0558,0.04143,1.0
68,5,0.03333,0.03303,35.79166,0.0911,0.0552,0.02884,1.0
69,66,0.03335,0.0334,35.617,0.162,0.0552,0.05229,1.0
70,64,0.03341,0.03404,36.04919,0.0898,0.0551,0.0299,1.0
71,150,0.03371,0.0343,35.94327,0.0879,0.0546,0.02875,1.0
72,63,0.03373,0.03229,35.9177,0.1835,0.0546,0.19498,1.0
73,63,0.03378,0.03275,35.83146,0.1865,0.0545,0.22887,1.0
74,64,0.03393,0.03224,36.02516,0.1264,0.0543,0.11632,1.0
75,64,0.03428,0.03467,36.06484,0.1453,0.0537,0.04217,1.0
76,150,0.03437,0.03466,35.88308,0.1347,0.0536,0.06157,1.0
77,150,0.03451,0.03265,35.99496,0.209,0.0534,0.13704,1.0
78,63,0.03479,0.03316,35.90221,0.1476,0.0529,0.14848,1.0
79,63,0.03491,0.03426,36.01126,0.1344,0.0528,0.04758,1.0
80,150,0.03512,0.03468,36.01851,0.1008,0.0525,0.02819,1.0
81,64,0.03516,0.03449,35.99892,0.1263,0.0524,0.03683,1.0
82,150,0.03529,0.03561,35.9573,0.095,0.0522,0.04435,1.0
83,65,0.03551,0.03518,36.00256,0.2289,0.0519,0.12606,1.0
84,150,0.03568,0.03557,36.38234,0.0909,0.0516,0.05059,1.0
85,150,0.03599,0.03556,36.14277,0.0907,0.0512,0.02843,1.0
86,150,0.03624,0.0371,36.32659,0.1121,0.0509,0.03197,1.0
87,150,0.03635,0.03505,36.14299,0.1132,0.0507,0.03873,1.0
88,65,0.03682,0.03761,36.11617,0.0895,0.0501,0.04583,1.0
89,64,0.03702,0.03718,36.05893,0.1337,0.0498,0.07017,1.0
90,63,0.03705,0.0367,36.05504,0.0933,0.0498,0.03668,1.0
91,63,0.03725,0.03713,36.01068,0.1125,0.0495,0.02478,1.0
92,150,0.0373,0.03486,36.00728,0.1211,0.0494,0.03072,1.0
93,150,0.0374,0.03817,36.13761,0.1017,0.0493,0.04597,1.0
94,150,0.03753,0.03672,36.16609,0.1296,0.0491,0.144,1.0
95,5,0.03756,0.03707,36.30183,0.1224,0.0491,0.1048,1.0
96,150,0.03787,0.03888,36.25411,0.1,0.0487,0.04285,1.0
97,65,0.03796,0.037,36.20641,0.1163,0.0486,0.07895,1.0
98,64,0.03818,0.03694,36.04309,0.0932,0.0483,0.04257,1.0
99,65,0.03828,0.039,36.24514,0.0994,0.0482,0.07932,1.0
100,65,0.03848,0.03667,36.31572,0.0942,0.0479,0.05262,1.0
101,65,0.03873,0.03777,36.12057,0.1044,0.0476,0.04519,1.0
102,150,0.03884,0.03768,36.17443,0.1262,0.0475,0.05103,1.0
103,66,0.03902,0.03812,36.15798,0.1499,0.0473,0.05954,1.0
104,150,0.03909,0.03836,36.37011,0.1167,0.0472,0.0496,1.0
105,150,0.04035,0.03937,36.43433,0.1503,0.0458,0.05712,1.0
106,63,0.04056,0.04039,36.16885,0.1017,0.0455,0.05113,1.0
107,150,0.04077,0.04099,36.15319,0.1167,0.0453,0.0892,1.0
108,150,0.04089,0.0393,36.24039,0.0952,0.0452,0.03298,1.0
109,150,0.04095,0.04,36.48436,0.1391,0.0451,0.09753,1.0
110,65,0.04099,0.03964,36.20463,0.0963,0.0451,0.03428,1.0
111,63,0.04101,0.04069,36.41367,0.0927,0.045,0.02391,1.0
112,64,0.04268,0.04146,36.40134,0.1065,0.0433,0.03767,1.0
113,65,0.04285,0.04177,36.24371,0.1092,0.0431,0.11297,1.0
114,150,0.04289,0.04332,36.45301,0.0793,0.0431,0.05123,1.0
115,150,0.04306,0.04191,36.27389,0.154,0.0429,0.11608,1.0
116,65,0.04349,0.04389,36.36083,0.0883,0.0425,0.08095,1.0
117,150,0.04349,0.04269,36.57204,0.092,0.0425,0.03004,1.0
118,150,0.04369,0.04485,36.40534,0.1003,0.0423,0.03003,1.0
119,150,0.04438,0.04457,36.55894,0.1343,0.0417,0.03766,1.0
120,5,0.04439,0.04525,36.42577,0.1621,0.0417,0.07819,1.0
121,150,0.04545,0.04385,36.57682,0.1173,0.0407,0.11732,1.0
122,64,0.04575,0.04592,36.69777,0.0872,0.0405,0.03027,1.0
123,150,0.04583,0.04457,36.44319,0.1013,0.0404,0.05936,1.0
124,150,0.0459,0.0447,36.48276,0.1171,0.0403,0.02917,1.0
125,65,0.04625,0.04526,36.31584,0.1717,0.04,0.09181,1.0
126,150,0.04631,0.04555,36.71175,0.0759,0.04,0.03518,1.0
127,64,0.04643,0.04624,36.44687,0.1231,0.0399,0.03624,1.0
128,5,0.04664,0.04558,36.54971,0.1315,0.0397,0.0441,1.0
129,65,0.04682,0.04603,36.57974,0.0945,0.0396,0.03305,1.0
130,150,0.04691,0.04644,36.75031,0.1648,0.0395,0.07539,1.0
131,150,0.04738,0.04561,36.64349,0.1512,0.0391,0.08668,1.0
132,150,0.0476,0.04611,36.71459,0.0942,0.0389,0.0666,1.0
133,150,0.04777,0.04655,36.71031,0.077,0.0388,0.04603,1.0
134,150,0.04777,0.04681,36.59991,0.1115,0.0388,0.02794,1.0
135,150,0.04819,0.04779,36.59722,0.0935,0.0385,0.07698,1.0
136,150,0.04837,0.04879,36.70692,0.0765,0.0383,0.02649,1.0
137,150,0.04865,0.04944,36.85198,0.1038,0.0381,0.03764,1.0
138,150,0.0494,0.04781,36.70592,0.0915,0.0375,0.03686,1.0
139,64,0.04944,0.04844,36.83597,0.1159,0.0375,0.02619,1.0
140,150,0.04989,0.04863,36.69189,0.0956,0.0372,0.05432,1.0
141,150,0.05023,0.05127,36.97734,0.0903,0.0369,0.03023,1.0
142,65,0.05032,0.05,36.64724,0.1981,0.0369,0.2203,1.0
143,150,0.05044,0.04924,36.61242,0.1205,0.0368,0.03806,1.0
144,150,0.05049,0.0518,36.62315,0.0947,0.0367,0.03193,1.0
145,150,0.05066,0.04954,36.87577,0.1949,0.0366,0.12674,1.0
146,150,0.05106,0.0525,36.86014,0.0965,0.0363,0.03566,1.0
147,63,0.05126,0.05311,36.49961,0.1333,0.0362,0.05632,1.0
148,150,0.05151,0.05093,36.79875,0.0748,0.036,0.03684,1.0
149,150,0.05222,0.05312,36.98666,0.1272,0.0356,0.03012,1.0
150,150,0.05262,0.05447,37.02932,0.102,0.0353,0.04882,1.0
151,150,0.05309,0.05273,36.98166,0.0795,0.035,0.04465,1.0
152,66,0.05316,0.05286,36.98605,0.1032,0.0349,0.02612,1.0
153,5,0.05346,0.0534,36.98406,0.0783,0.0348,0.04324,1.0
154,150,0.05468,0.05342,36.90225,0.0939,0.034,0.03904,1.0
155,150,0.05469,0.05399,37.0434,0.068,0.034,0.02739,1.0
156,150,0.05502,0.0544,36.83115,0.0838,0.0338,0.0294,1.0
157,150,0.05614,0.05569,36.99623,0.1009,0.0331,0.07836,1.0
158,5,0.05653,0.05787,36.96139,0.1189,0.0329,0.11217,1.0
159,150,0.05693,0.05547,37.13672,0.1003,0.0327,0.08491,1.0
160,64,0.05708,0.05739,37.07054,0.1121,0.0326,0.09208,1.0
161,64,0.05824,0.0586,37.05644,0.0849,0.032,0.06079,1.0
162,150,0.0583,0.05827,37.05872,0.0979,0.0319,0.03598,1.0
163,63,0.05886,0.05776,37.15499,0.1291,0.0316,0.073,1.0
164,150,0.06092,0.05953,37.20488,0.1051,0.0306,0.03542,1.0
165,65,0.06099,0.06015,37.36659,0.0716,0.0306,0.02784,1.0
166,150,0.06121,0.06194,37.37005,0.1459,0.0305,0.02667,1.0
167,64,0.06153,0.06257,37.2229,0.1098,0.0303,0.03664,1.0
168,150,0.06384,0.06289,37.1975,0.0646,0.0292,0.06155,1.0
169,150,0.06446,0.0627,37.20911,0.0938,0.029,0.06695,1.0
170,64,0.06533,0.06499,37.1436,0.1021,0.0286,0.02596,1.0
171,150,0.06627,0.06479,37.36253,0.1098,0.0282,0.02849,1.0
172,150,0.06711,0.06602,37.52847,0.1018,0.0279,0.0247,1.0
173,150,0.06725,0.06741,37.41339,0.1113,0.0278,0.03941,1.0
174,150,0.06786,0.06889,37.54095,0.0941,0.0276,0.03775,1.0
175,150,0.06844,0.06766,37.39806,0.0952,0.0273,0.05743,1.0
176,64,0.06886,0.0678,37.60919,0.0802,0.0272,0.04282,1.0
177,150,0.06897,0.06828,37.40023,0.0847,0.0271,0.03409,1.0
178,65,0.07056,0.06965,37.36244,0.1087,0.0265,0.07177,1.0
179,150,0.07073,0.06976,37.53894,0.0647,0.0265,0.05121,1.0
180,150,0.07083,0.06982,37.60601,0.1686,0.0264,0.06245,1.0
181,64,0.07089,0.07191,37.37352,0.1761,0.0264,0.08202,1.0
182,150,0.07091,0.0718,37.34903,0.1488,0.0264,0.07926,1.0
183,150,0.07116,0.07096,37.55578,0.0881,0.0263,0.05292,1.0
184,150,0.07158,0.07267,37.45519,0.0885,0.0262,0.06349,1.0
185,150,0.07193,0.07085,37.72225,0.1089,0.026,0.032,1.0
186,150,0.07252,0.07188,37.86168,0.13,0.0258,0.03215,1.0
187,10,0.07334,0.07411,37.60807,0.1792,0.0307,0.39882,1.0
188,10,0.07374,0.07451,37.36177,0.1858,0.0305,0.06818,1.0
189,150,0.07393,0.07363,37.69622,0.0899,0.0254,0.02531,1.0
190,150,0.07446,0.07339,37.47561,0.092,0.0252,0.03364,1.0
191,64,0.0752,0.07603,37.78693,0.0745,0.025,0.07505,1.0
192,150,0.07575,0.07642,37.66958,0.0962,0.0248,0.05602,1.0
193,150,0.07845,0.07937,37.67794,0.1107,0.024,0.08964,1.0
194,150,0.07859,0.07772,37.95956,0.0823,0.0239,0.03204,1.0
195,150,0.07931,0.08024,37.67811,0.0922,0.0237,0.03383,1.0
196,150,0.0841,0.08493,38.0676,0.1372,0.0224,0.1607,1.0
197,64,0.08478,0.084,37.92895,0.1198,0.0222,0.06316,1.0
198,150,0.08704,0.08748,38.06308,0.1619,0.0217,0.10979,1.0
199,10,0.09333,0.09422,38.14556,0.0994,0.0243,0.06934,1.0
200,10,0.09394,0.09475,38.19696,0.2395,0.0242,0.13223,0.99969
201,10,0.10442,0.10525,38.35683,0.1256,0.0218,0.02734,0.99996
202,10,0.10543,0.10582,38.31943,0.1444,0.0216,0.16607,1.0
203,10,0.10563,0.10643,38.54264,0.0821,0.0216,0.02319,1.0
204,10,0.11048,0.11088,38.25468,0.1023,0.0207,0.05119,1.0
205,10,0.11621,0.11665,41.38301,206.3178,0.0197,0.13976,0.0
206,10,0.11979,0.1202,39.18096,194.6456,0.0192,0.09992,0.0
207,10,0.13051,0.13092,38.87889,0.1062,0.0177,0.06575,0.9999
208,10,0.13349,0.13431,38.98171,0.1961,0.0173,0.12044,1.0
209,10,0.13537,0.13617,38.89598,0.1589,0.0171,0.03665,1.0
210,10,0.14136,0.14227,39.34775,0.1421,0.0164,0.04132,1.0
211,10,0.14624,0.14715,39.29023,0.1306,0.0159,0.02607,1.0
212,10,0.14631,0.14715,39.46035,0.1576,0.0159,0.04154,0.99999
213,10,0.1474,0.14784,39.00672,0.1375,0.0158,0.10774,1.0
214,10,0.14802,0.14893,39.16841,0.1602,0.0157,0.04599,1.0
215,10,0.14812,0.14896,39.29882,0.0844,0.0157,0.03152,1.0
216,10,0.1484,0.14883,39.93288,192.4317,0.0157,0.02169,0.0
217,10,0.1494,0.15035,39.34373,0.0979,0.0156,0.02063,0.98907
218,10,0.15026,0.15123,39.18191,0.1013,0.0155,0.04609,0.99945
219,10,0.15062,0.15145,39.60073,0.2443,0.0154,0.21806,0.99998
220,10,0.15459,0.15555,39.23567,0.1743,0.0151,0.07208,1.0
221,10,0.16008,0.16051,39.12071,0.1843,0.0146,0.06356,1.0
222,10,0.16008,0.16092,39.39296,0.1643,0.0146,0.05297,1.0
223,10,0.16085,0.16167,39.40043,0.1053,0.0145,0.08462,1.0
224,10,0.17267,0.17353,39.59667,0.0994,0.0136,0.0259,1.0
225,10,0.17273,0.17315,39.29306,0.0826,0.0136,0.01653,0.99338
226,10,0.17623,0.17718,40.67369,121.9264,0.0133,0.03935,0.0
227,10,0.178,0.17885,41.63537,256.203,0.0132,0.12141,0.0
228,10,0.17978,0.18021,39.69446,0.1495,0.0131,0.02458,1.0
229,10,0.18148,0.18191,39.3871,0.0959,0.013,0.02502,1.0
230,10,0.18216,0.18299,39.8153,0.096,0.0129,0.01475,1.0
231,10,0.18383,0.18472,39.78048,0.0953,0.0128,0.02487,1.0
232,10,0.18444,0.18531,40.03362,0.1941,0.0128,0.06858,1.0
233,10,0.18492,0.18579,39.8538,0.1078,0.0127,0.02487,1.0
234,10,0.18937,0.19024,39.9733,0.1246,0.0125,0.02981,0.99999
235,10,0.19209,0.19294,40.96771,132.5901,0.0123,0.04452,0.0
236,10,0.19246,0.19293,39.86546,0.2171,0.0123,0.08313,1.0
237,10,0.19471,0.19515,39.99672,0.087,0.0122,0.04654,1.0
238,10,0.19555,0.19599,39.74864,0.1067,0.0121,0.04394,1.0
239,10,0.19616,0.19712,39.9279,0.1359,0.0121,0.06102,1.0
240,10,0.19624,0.1972,39.94861,0.1849,0.0121,0.31384,1.0
241,10,0.19771,0.1987,39.8289,0.1094,0.012,0.03039,1.0
242,10,0.19847,0.19933,40.74201,192.8023,0.0119,0.03573,0.0
243,10,0.19902,0.19947,40.11619,0.197,0.0119,0.06818,0.99827
244,10,0.19991,0.20081,39.82392,0.1936,0.0119,0.06679,0.99913
245,10,0.20173,0.20216,39.82988,0.1012,0.0118,0.02746,1.0
246,10,0.20587,0.20676,39.94322,0.1771,0.0115,0.24341,1.0
247,10,0.20699,0.20786,39.99299,0.1567,0.0115,0.03025,1.0
248,10,0.20753,0.20797,40.16818,0.1003,0.0115,0.02213,1.0
249,10,0.20823,0.2091,39.99434,0.104,0.0114,0.04003,1.0
250,10,0.21062,0.21105,39.95602,0.1525,0.0113,0.14293,1.0
251,10,0.21094,0.21139,39.90133,0.1228,0.0113,0.02464,0.99936
252,10,0.21136,0.21182,40.13584,0.164,0.0113,0.03892,1.0
253,10,0.2126,0.21358,40.01692,0.1966,0.0112,0.39012,1.0
254,10,0.21303,0.21348,40.10499,0.1764,0.0112,0.04622,0.99989
255,10,0.21415,0.21514,41.12692,0.8952,0.0111,0.12137,0.0722
256,10,0.21492,0.21541,39.79939,0.2285,0.0111,0.13194,1.0
257,10,0.21511,0.21552,40.09896,0.0946,0.0111,0.03756,1.0
258,10,0.21601,0.21648,40.25572,0.0889,0.011,0.04459,0.99999
259,10,0.21711,0.2176,40.18207,0.1705,0.011,0.01588,0.99993
260,10,0.21781,0.21881,40.26232,0.1452,0.011,0.11451,0.99999
261,10,0.21792,0.21883,40.09856,0.0956,0.011,0.02461,1.0
262,10,0.21839,0.21938,40.05123,0.2672,0.0109,0.1361,0.99679
263,10,0.21847,0.21892,40.31675,0.1664,0.0109,0.04281,1.0
264,10,0.21849,0.21939,40.17131,0.2113,0.0109,0.07966,1.0
265,10,0.21883,0.21927,40.10356,0.1106,0.0109,0.03129,1.0
